hypothesis_id,family,family_size,dataset,beta,comparison,endpoint,null,alternative,test,multiplicity,status
PRAUC_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b1.0,PRAUC_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,1.0,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED
PRAUC_NI_CB_vs_Full__CICIoT2023_R1__b0.1,PRAUC_NI_CB_vs_Full,12,CICIoT2023_R1,0.1,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED
PRAUC_NI_CB_vs_Full__CICIoT2023_R1__b0.2,PRAUC_NI_CB_vs_Full,12,CICIoT2023_R1,0.2,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED
PRAUC_NI_CB_vs_Full__CICIoT2023_R1__b0.4,PRAUC_NI_CB_vs_Full,12,CICIoT2023_R1,0.4,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED
PRAUC_NI_CB_vs_Full__CICIoT2023_R1__b0.6,PRAUC_NI_CB_vs_Full,12,CICIoT2023_R1,0.6,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED
PRAUC_NI_CB_vs_Full__CICIoT2023_R1__b0.8,PRAUC_NI_CB_vs_Full,12,CICIoT2023_R1,0.8,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED
PRAUC_NI_CB_vs_Full__CICIoT2023_R1__b1.0,PRAUC_NI_CB_vs_Full,12,CICIoT2023_R1,1.0,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED
FPR_SAFETY_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.1,FPR_SAFETY_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.1,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED
FPR_SAFETY_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.2,FPR_SAFETY_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.2,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED
FPR_SAFETY_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.4,FPR_SAFETY_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.4,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED
FPR_SAFETY_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.6,FPR_SAFETY_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.6,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED
FPR_SAFETY_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.8,FPR_SAFETY_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.8,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED
FPR_SAFETY_CB_vs_Full__CICIDS2017_COVERAGE_R1__b1.0,FPR_SAFETY_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,1.0,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED
FPR_SAFETY_CB_vs_Full__CICIoT2023_R1__b0.1,FPR_SAFETY_CB_vs_Full,12,CICIoT2023_R1,0.1,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED
FPR_SAFETY_CB_vs_Full__CICIoT2023_R1__b0.2,FPR_SAFETY_CB_vs_Full,12,CICIoT2023_R1,0.2,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED
FPR_SAFETY_CB_vs_Full__CICIoT2023_R1__b0.4,FPR_SAFETY_CB_vs_Full,12,CICIoT2023_R1,0.4,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED
FPR_SAFETY_CB_vs_Full__CICIoT2023_R1__b0.6,FPR_SAFETY_CB_vs_Full,12,CICIoT2023_R1,0.6,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED
FPR_SAFETY_CB_vs_Full__CICIoT2023_R1__b0.8,FPR_SAFETY_CB_vs_Full,12,CICIoT2023_R1,0.8,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED
FPR_SAFETY_CB_vs_Full__CICIoT2023_R1__b1.0,FPR_SAFETY_CB_vs_Full,12,CICIoT2023_R1,1.0,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.1__vs_Utility-Only,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.1,CB-Score minus Utility-Only,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.1__vs_Utility-Cost-Ratio,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.1,CB-Score minus Utility-Cost-Ratio,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.1__vs_Oort-Style-Adapted,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.1,CB-Score minus Oort-Style-Adapted,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.2__vs_Utility-Only,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.2,CB-Score minus Utility-Only,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.2__vs_Utility-Cost-Ratio,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.2,CB-Score minus Utility-Cost-Ratio,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.2__vs_Oort-Style-Adapted,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.2,CB-Score minus Oort-Style-Adapted,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.4__vs_Utility-Only,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.4,CB-Score minus Utility-Only,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.4__vs_Utility-Cost-Ratio,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.4,CB-Score minus Utility-Cost-Ratio,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.4__vs_Oort-Style-Adapted,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.4,CB-Score minus Oort-Style-Adapted,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.6__vs_Utility-Only,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.6,CB-Score minus Utility-Only,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.6__vs_Utility-Cost-Ratio,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.6,CB-Score minus Utility-Cost-Ratio,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.6__vs_Oort-Style-Adapted,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.6,CB-Score minus Oort-Style-Adapted,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.8__vs_Utility-Only,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.8,CB-Score minus Utility-Only,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.8__vs_Utility-Cost-Ratio,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.8,CB-Score minus Utility-Cost-Ratio,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.8__vs_Oort-Style-Adapted,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.8,CB-Score minus Oort-Style-Adapted,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b1.0__vs_Utility-Only,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,1.0,CB-Score minus Utility-Only,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b1.0__vs_Utility-Cost-Ratio,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,1.0,CB-Score minus Utility-Cost-Ratio,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b1.0__vs_Oort-Style-Adapted,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,1.0,CB-Score minus Oort-Style-Adapted,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_F1__CICIoT2023_R1__b0.1__vs_Utility-Only,SAME_BUDGET_F1,36,CICIoT2023_R1,0.1,CB-Score minus Utility-Only,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
