attacker,attacker_preprocessing,auc_ci_high,auc_ci_low,cell_id,claim_boundary,class_balance,dataset_protocol,fold_mean_auc,group_overlap_max,groups,hyperparameters,mean_auc,metadata_view,observations,privacy_split_seed,target,uncertainty,view_fields
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.6903446370399456,0.5363292534453672,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__attack_ratio_above_seed_median__seed11,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.6152949903337402,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.6122233333333333,Minimal-Bucketed,3000,11,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.6940656821414312,0.545135948372615,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__attack_ratio_above_seed_median__seed123,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.6273882184482185,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.6196273333333333,Minimal-Bucketed,3000,123,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.6886325721254134,0.5346991467614957,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__attack_ratio_above_seed_median__seed2026,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.6196384427609428,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.6084515555555555,Minimal-Bucketed,3000,2026,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.6839473670735127,0.5429538462055262,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__attack_ratio_above_seed_median__seed2027,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.6247044887211554,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.6135602222222223,Minimal-Bucketed,3000,2027,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.6823046711520026,0.529230931221641,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__attack_ratio_above_seed_median__seed2718,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.6083719486531987,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.6059220000000001,Minimal-Bucketed,3000,2718,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.6961327506973592,0.5374580626078055,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__attack_ratio_above_seed_median__seed314,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.621430425084175,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.6171413333333333,Minimal-Bucketed,3000,314,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.6963089786756453,0.542667360178136,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__attack_ratio_above_seed_median__seed3407,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.6228360256872756,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.6224111111111111,Minimal-Bucketed,3000,3407,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.6810908358134921,0.525613746182577,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__attack_ratio_above_seed_median__seed42,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.6123153759820427,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.6019802222222224,Minimal-Bucketed,3000,42,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.6926812119233016,0.5355172183988373,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__attack_ratio_above_seed_median__seed777,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.6285208389450055,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.6159802222222223,Minimal-Bucketed,3000,777,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.6955814620776719,0.5401206101178609,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__attack_ratio_above_seed_median__seed9001,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.615640628661462,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.6176775555555556,Minimal-Bucketed,3000,9001,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.5969916050196,0.45831025752314825,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__client_size_above_seed_median__seed11,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.5300870085624252,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.5270508888888888,Minimal-Bucketed,3000,11,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.5916147630606143,0.4527247800925926,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__client_size_above_seed_median__seed123,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.5387184062850728,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.5237395555555555,Minimal-Bucketed,3000,123,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.5807301694317659,0.4509105455597644,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__client_size_above_seed_median__seed2026,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.5373374144219978,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.51235,Minimal-Bucketed,3000,2026,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.5967607798352832,0.4610881254567296,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__client_size_above_seed_median__seed2027,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.5341121324354657,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.530163111111111,Minimal-Bucketed,3000,2027,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.5596380506177941,0.436663648413911,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__client_size_above_seed_median__seed2718,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.5095542087542088,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.4945175555555556,Minimal-Bucketed,3000,2718,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.5907976806335103,0.45041007946047007,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__client_size_above_seed_median__seed314,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.5390267340067341,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.5209542222222222,Minimal-Bucketed,3000,314,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.5875059603420948,0.4395558053308136,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__client_size_above_seed_median__seed3407,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.5310081593714927,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.5121675555555555,Minimal-Bucketed,3000,3407,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.5829259445409137,0.4600859742647069,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__client_size_above_seed_median__seed42,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.5330945385632886,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.5192808888888889,Minimal-Bucketed,3000,42,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.5920896258204085,0.4597325575274554,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__client_size_above_seed_median__seed777,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.5365141931216931,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.5282595555555555,Minimal-Bucketed,3000,777,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
LogisticRegression,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.5881134822209041,0.4519268956301983,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__LogisticRegression__client_size_above_seed_median__seed9001,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.5336083146483147,0,10,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 2000, 'solver': 'liblinear'}",0.5169968888888888,Minimal-Bucketed,3000,9001,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.694574771324941,0.5156004607371796,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__attack_ratio_above_seed_median__seed11,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.6198457168294669,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.5967620000000001,Minimal-Bucketed,3000,11,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.7209471897924493,0.5655099762506013,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__attack_ratio_above_seed_median__seed123,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.6468208598808598,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.6427704444444444,Minimal-Bucketed,3000,123,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.6948831857997368,0.5253335877494754,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__attack_ratio_above_seed_median__seed2026,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.6083870679012345,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.6136115555555555,Minimal-Bucketed,3000,2026,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.6793363079262837,0.5373679027308046,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__attack_ratio_above_seed_median__seed2027,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.634415854885855,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.6032984444444446,Minimal-Bucketed,3000,2027,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.6290207025224533,0.5173883587311627,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__attack_ratio_above_seed_median__seed2718,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.5493387219416386,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.5740971111111113,Minimal-Bucketed,3000,2718,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.7041096322834252,0.5437858412189168,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__attack_ratio_above_seed_median__seed314,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.6304022685185185,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.619888,Minimal-Bucketed,3000,314,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.713238469043628,0.5555571836388778,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__attack_ratio_above_seed_median__seed3407,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.6482380771851606,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.6349902222222221,Minimal-Bucketed,3000,3407,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.6764884656565657,0.5082991980284508,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__attack_ratio_above_seed_median__seed42,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.623210394543728,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.5843553333333333,Minimal-Bucketed,3000,42,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.6947641247851835,0.5328151165878142,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__attack_ratio_above_seed_median__seed777,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.6375792003367003,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.6102184444444443,Minimal-Bucketed,3000,777,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.6611982020238649,0.5168824912734031,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__attack_ratio_above_seed_median__seed9001,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.6083193234234899,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.58105,Minimal-Bucketed,3000,9001,attack_ratio_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.6021605114254033,0.3501580270833333,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__client_size_above_seed_median__seed11,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.4890747863710363,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.4783615555555556,Minimal-Bucketed,3000,11,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.5828015539549153,0.42644841423494206,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__client_size_above_seed_median__seed123,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.49968749719416394,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.502392,Minimal-Bucketed,3000,123,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.5452847307641271,0.3581673699538859,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__client_size_above_seed_median__seed2026,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.5248092971380471,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.4395637777777777,Minimal-Bucketed,3000,2026,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.5589928718777755,0.34943112777777774,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__client_size_above_seed_median__seed2027,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.5506988888888888,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.4400528888888888,Minimal-Bucketed,3000,2027,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.4797620087782587,0.27954047673740295,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__client_size_above_seed_median__seed2718,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.469607542087542,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.36655711111111106,Minimal-Bucketed,3000,2718,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.5830808768358876,0.43227394168044725,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__client_size_above_seed_median__seed314,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.5370697867564533,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.5051937777777777,Minimal-Bucketed,3000,314,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.5328720581755257,0.4170733452274328,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__client_size_above_seed_median__seed3407,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.48533704826038165,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.4764893333333333,Minimal-Bucketed,3000,3407,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.460558432696766,0.33180499421991017,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__client_size_above_seed_median__seed42,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.5190692027879528,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.37046799999999996,Minimal-Bucketed,3000,42,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.5173782464987459,0.3752023775936707,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__client_size_above_seed_median__seed777,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.4971621560846561,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.439772,Minimal-Bucketed,3000,777,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
MLP,median imputation; StandardScaler for LogisticRegression/MLP numeric fields; client_id one-hot only in Raw; RandomForest numeric fields unscaled,0.5465301679743868,0.3913884522015938,PRIV__CICIDS2017_COVERAGE_R1__Minimal-Bucketed__MLP__client_size_above_seed_median__seed9001,empirical pre-upload metadata leakage only; no formal privacy guarantee,0.5,CICIDS2017_COVERAGE_R1,0.5123720232853566,0,10,"{'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': [32, 16], 'learning_rate_init': 0.001, 'max_iter': 1000}",0.4567844444444445,Minimal-Bucketed,3000,9001,client_size_above_seed_median,2000-resample client-group bootstrap over out-of-fold predictions,"['utility_bucket', 'cost_bucket']"
